Перший рівень,Другий рівень,Третій рівень,Четвертий рівень,Додатковий рівень,Категорія об’єкта,Назва об’єкта
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150080063791,,C,Григорівка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150090077580,,C,Долинське
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150100014682,,C,Дружелюбівка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150110035656,,C,Іверське
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150120048136,,C,Кашкарівка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150130030559,,C,Квітуче
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150140019111,,C,Котлярівка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150150033448,,C,Кринички
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150160044601,,C,Мала Калинівка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150170079190,,C,Малинове
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150180088073,,C,Миколо-Мусіївка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150190068810,,C,Мирне
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150200024693,,C,Миропіль
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150210046182,,C,Михайлівка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150220064614,,C,Новоандріївка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150230072847,,C,Олександрівка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150240051085,,C,Олександропіль
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150250091063,,C,Осипенко
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150260094343,,C,Павлівка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150270013345,,C,Петриківка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150280034680,,C,Пропашне
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150290063116,,C,Розтання
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150300056535,,C,Суданівка
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150310089201,,C,Товариський Труд
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150320049411,,C,Тракторне
UA12000000000090473,UA12020000000052809,UA12020150000050274,UA12020150330025295,,X,Тихе
UA12000000000090473,UA12020000000052809,UA12020170000068526,,,H,Обухівська
UA12000000000090473,UA12020000000052809,UA12020170000068526,UA12020170010095010,,T,Обухівка
UA12000000000090473,UA12020000000052809,UA12020170000068526,UA12020170020084150,,T,Миколаївка
UA12000000000090473,UA12020000000052809,UA12020170000068526,UA12020170030040029,,C,Горянівське
UA12000000000090473,UA12020000000052809,UA12020190000075117,,,H,Петриківська
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190010023009,,T,Петриківка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190020045582,,T,Курилівка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190030047371,,C,Гречане
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190040050442,,C,Єлизаветівка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190050056921,,C,Іванівка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190060092600,,C,Клешнівка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190070095886,,C,Кулішеве
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190080056425,,C,Куліші
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190090046672,,C,Лобойківка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190100030795,,C,Мала Петриківка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190110059094,,C,Плавещина
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190120074878,,C,Радісне
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190130048374,,C,Сорочине
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190140082192,,C,Сотницьке
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190150068136,,C,Судівка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190160067887,,C,Улянівка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190170090002,,C,Хутірське
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190180081726,,C,Чаплинка
UA12000000000090473,UA12020000000052809,UA12020190000075117,UA12020190190054664,,C,Шульгівка
UA12000000000090473,UA12020000000052809,UA12020210000032285,,,H,Підгородненська
UA12000000000090473,UA12020000000052809,UA12020210000032285,UA12020210010051215,,M,Підгородне
UA12000000000090473,UA12020000000052809,UA12020210000032285,UA12020210020071794,,C,Дмитрівка
UA12000000000090473,UA12020000000052809,UA12020210000032285,UA12020210030086220,,C,Перемога
UA12000000000090473,UA12020000000052809,UA12020210000032285,UA12020210040099872,,C,Спаське
UA12000000000090473,UA12020000000052809,UA12020210000032285,UA12020210050062970,,C,Хуторо-Губиниха
UA12000000000090473,UA12020000000052809,UA12020230000085693,,,H,Святовасилівська
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230010080639,,X,Святовасилівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230020043986,,C,Барвінок
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230030041599,,C,Березнуватівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230040060643,,C,Голубинівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230050041667,,C,Грушівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230060061617,,C,Дальнє
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230070048537,,C,Карайкове
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230080091859,,C,Костянтинівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230090057027,,C,Матросове
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230100040238,,C,Межове
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230110084781,,C,Наталівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230120035097,,C,Незабудине
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230130083100,,C,Новомар’ївка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230140085978,,C,Орлове
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230150058808,,C,Промінь
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230160063282,,C,Рясне
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230170094373,,C,Томаківка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230180027146,,C,Хижине
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230190096732,,C,Чернігівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230200095035,,C,Чорнопарівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230210046803,,C,Шульгівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230220040327,,C,Якимівка
UA12000000000090473,UA12020000000052809,UA12020230000085693,UA12020230230043725,,X,Незабудине
UA12000000000090473,UA12020000000052809,UA12020250000010438,,,H,Слобожанська
UA12000000000090473,UA12020000000052809,UA12020250000010438,UA12020250010046556,,T,Слобожанське
UA12000000000090473,UA12020000000052809,UA12020250000010438,UA12020250020023942,,C,Балівка
UA12000000000090473,UA12020000000052809,UA12020250000010438,UA12020250030097498,,C,Василівка
UA12000000000090473,UA12020000000052809,UA12020250000010438,UA12020250040089817,,C,Олександрівка
UA12000000000090473,UA12020000000052809,UA12020250000010438,UA12020250050057051,,C,Партизанське
UA12000000000090473,UA12020000000052809,UA12020250000010438,UA12020250060077301,,C,Степове
UA12000000000090473,UA12020000000052809,UA12020270000063450,,,H,Солонянська
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270010031228,,T,Солоне
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270020058542,,C,Антонівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270030097177,,C,Аполлонівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270040063378,,C,Башмачка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270050090775,,C,Безбородькове
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270060092134,,C,Богданівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270070050724,,C,Василівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270080086742,,C,Вишневе
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270090018990,,C,Військове
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270100062130,,C,Вовніги
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270110071869,,C,Гайдамацьке
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270120094077,,C,Гончарка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270130042947,,C,Гроза
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270140048657,,C,Дніпровське
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270150025467,,C,Дороганівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270160055167,,C,Звонецьке
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270170010211,,C,Звонецький Хутір
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270180047869,,C,Калинівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270190052199,,C,Кам’яне
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270200016134,,C,Кам’яно-Зубилівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270210031634,,C,Круте
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270220088994,,C,Любимівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270230034840,,C,Любов
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270240076544,,C,Малинівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270250086666,,C,Малозахарине
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270260038415,,C,Маяк
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270270083086,,C,Микільське
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270280057929,,C,Микільське-на-Дніпрі
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270290060393,,C,Новоселівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270300042885,,C,Новотарасівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270310055390,,C,Новотернуватка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270320034552,,C,Олексіївка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270330036186,,C,Оріхове
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270340058994,,C,Панькове
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270350025073,,C,Перше Травня
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270360013326,,C,Петрівське
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270370041732,,C,Петро-Свистунове
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270380077079,,C,Письмечеве
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270390099109,,C,Привільне
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270400012123,,C,Пшеничне
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270410044739,,C,Сергіївка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270420094870,,C,Сонячне
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270430064318,,C,Стародніпровське
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270440060300,,C,Сурсько-Михайлівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270450044197,,C,Тритузне
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270460017163,,C,Трудолюбівка
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270470098655,,C,Червонокам’яне
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270480033054,,C,Шестипілля
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270490046652,,C,Широке
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270500064056,,C,Широкополе
UA12000000000090473,UA12020000000052809,UA12020270000063450,UA12020270510028436,,X,Надіївка
UA12000000000090473,UA12020000000052809,UA12020290000063321,,,H,Сурсько-Литовська
UA12000000000090473,UA12020000000052809,UA12020290000063321,UA12020290010050775,,C,Сурсько-Литовське
UA12000000000090473,UA12020000000052809,UA12020290000063321,UA12020290020045775,,C,Зелений Гай
UA12000000000090473,UA12020000000052809,UA12020290000063321,UA12020290030040257,,C,Новомиколаївка
UA12000000000090473,UA12020000000052809,UA12020290000063321,UA12020290040084960,,C,Сурсько-Клевцеве
UA12000000000090473,UA12020000000052809,UA12020310000017431,,,H,Царичанська
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310010078504,,T,Царичанка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310020032558,,C,Бабайківка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310030019206,,C,Вербове
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310040020066,,C,Гнатівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310050041559,,C,Драгівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310060058477,,C,Дубове
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310070039514,,C,Заорілля
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310080058443,,C,Івано-Яризівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310090093378,,C,Калинівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310100045933,,C,Кущівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310110091718,,C,Лисківка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310120045333,,C,Михайлівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310130067836,,C,Ненадівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310140035466,,C,Новостроївка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310150026639,,C,Пилипівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310160058062,,C,Преображенка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310170094760,,C,Прядівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310180091529,,C,Селянівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310190033982,,C,Семенівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310200043058,,C,Тарасівка
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310210051308,,C,Турове
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310220035903,,C,Червона Орілька
UA12000000000090473,UA12020000000052809,UA12020310000017431,UA12020310230057578,,C,Юр’ївка
UA12000000000090473,UA12020000000052809,UA12020330000076598,,,H,Чумаківська
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330010081292,,C,Чумаки
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330020071676,,C,Веселе
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330030020359,,C,Виноградне
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330040044784,,C,Вишневе
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330050063295,,C,Іванівка
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330060074176,,C,Маївка
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330070070127,,C,Нововасилівка
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330080091555,,C,Новоспаське
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330090088459,,C,Приют
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330100099968,,C,Тарасо-Шевченківка
UA12000000000090473,UA12020000000052809,UA12020330000076598,UA12020330110043989,,X,Зоря
UA12000000000090473,UA12040000000032213,,,,P,Кам’янський
UA12000000000090473,UA12040000000032213,UA12040010000018960,,,H,Божедарівська
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010010084655,,T,Божедарівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010020046229,,C,Адамівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010030081313,,C,Андріївка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010040092625,,C,Бикове
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010050059327,,C,Благословенна
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010060018170,,C,Божедарівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010070094866,,C,Болтишка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010080018066,,C,Василівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010090011097,,C,Весела Долина
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010100093783,,C,Веселе
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010110017617,,C,Вільне
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010120064584,,C,Водяне
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010130096641,,C,Грузинівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010140089794,,C,Зелена Долина
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010150037308,,C,Зелений Яр
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010160022337,,C,Зоря
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010170021808,,C,Калинівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010180011444,,C,Катеринівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010190082254,,C,Катеринопіль
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010200097476,,C,Ковалівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010210051179,,C,Крута Балка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010220096119,,C,Кудашівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010230081665,,C,Людмилівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010240039484,,C,Надія
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010250015585,,C,Нова Праця
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010260073261,,C,Новогурівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010270079702,,C,Новожитлівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010280077908,,C,Новомилорадівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010290053145,,C,Олександрівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010300031344,,C,Олексіївка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010310010289,,C,Павлівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010320095999,,C,Покровка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010330012146,,C,Поляна
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010340023590,,C,Потоки
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010350093581,,C,Привілля
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010360050451,,C,Саксаганське
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010370025733,,C,Скелюватка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010380090450,,C,Теплівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010390061249,,C,Трудове
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010400087620,,C,Червоний Орлик
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010410065096,,X,Милорадівка
UA12000000000090473,UA12040000000032213,UA12040010000018960,UA12040010420071060,,X,Сорокопанівка
UA12000000000090473,UA12040000000032213,UA12040030000066040,,,H,Верхівцівська
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030010058766,,M,Верхівцеве
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030020066076,,C,Адалимівка
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030030080029,,C,Гранове
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030040019018,,C,Дубове
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030050045370,,C,Калинівка
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030060045922,,C,Малоолександрівка
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030070060757,,C,Петрівка
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030080011196,,C,Полівське
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030090045960,,C,Саксагань
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030100079815,,C,Широке
UA12000000000090473,UA12040000000032213,UA12040030000066040,UA12040030110026950,,X,Соколівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,,,H,Верхньодніпровська
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050010019298,,M,Верхньодніпровськ
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050020044460,,T,Дніпровське
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050030016744,,T,Новомиколаївка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050040097670,,C,Авксенівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050050081647,,C,Андріївка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050060048825,,C,Боровківка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050070095217,,C,Бородаївка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050080040568,,C,Бородаївські Хутори
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050090084477,,C,Братське
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050100084633,,C,Василівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050110093425,,C,Вільні Хутори
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050120069849,,C,Водяне
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050130084245,,C,Воєводівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050140097837,,C,Ганнівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050150080576,,C,Діденкове
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050160086763,,C,Дніпровокам’янка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050170023514,,C,Домоткань
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050180091289,,C,Заполички
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050190053716,,C,Заріччя
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050200019615,,C,Зелене
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050210040501,,C,Зуботрясівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050220095296,,C,Івашкове
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050230080894,,C,Калужине
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050240041144,,C,Клин
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050250063486,,C,Корнило-Наталівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050260055250,,C,Кривоносове
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050270019094,,C,Матюченкове
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050280079937,,C,Миколаївка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050290056349,,C,Мишурин Ріг
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050300070614,,C,Мости
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050310091809,,C,Новогригорівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050320095360,,C,Новоселівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050330065162,,C,Павлівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050340064064,,C,Павло-Григорівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050350077360,,C,Перше Травня
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050360096009,,C,Підлужжя
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050370040266,,C,Попівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050380014805,,C,Правобережне
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050390019142,,C,Пушкарівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050400077347,,C,Самоткань
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050410083867,,C,Солов’ївка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050420076010,,C,Суслівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050430088612,,C,Тарасівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050440030136,,C,Томаківка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050450037061,,C,Чепине
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050460089433,,C,Чкаловка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050470011241,,C,Якимівка
UA12000000000090473,UA12040000000032213,UA12040050000057182,UA12040050480097917,,C,Ярок
UA12000000000090473,UA12040000000032213,UA12040070000083117,,,H,Вишнівська
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070010013106,,T,Вишневе
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070020057940,,C,Байківка
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070030087485,,C,Іванівка
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070040036488,,C,Комісарівка
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070050069207,,C,Кулябкине
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070060047169,,C,Ликошине
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070070066468,,C,Лозуватка
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070080057260,,C,Новоукраїнка
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070090017361,,C,Терно-Лозуватка
UA12000000000090473,UA12040000000032213,UA12040070000083117,UA12040070100021263,,C,Червоний Яр
UA12000000000090473,UA12040000000032213,UA12040090000029346,,,H,Вільногірська
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090010047409,,M,Вільногірськ
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090020018789,,C,Дідове
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090030091132,,C,Дмитрівка
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090040019562,,C,Доброгірське
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090050090438,,C,Кринички
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090060021550,,C,Кушнарівка
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090070029206,,C,Мар’янівка
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090080024303,,C,Мотронівка
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090090038492,,C,Новоганнівка
UA12000000000090473,UA12040000000032213,UA12040090000029346,UA12040090100052469,,C,Посуньки
