Область,Район,ОТГ,Населений пункт,Що цікавого ,Веб-ресурси
Сумська ,Шосткинський,Шалигинська,Катеринівка,,
Сумська ,Шосткинський,Шалигинська,Сваркове,,
Сумська ,Шосткинський,Шалигинська,Соснівка,,
Сумська ,Шосткинський,Шалигинська,Старикове,,
Сумська ,Шосткинський,Шалигинська,Черневе,,
Сумська ,Шосткинський,Шалигинська,Шалигине,,
Сумська ,Шосткинський,Шалигинська,Ємадикине,,
Сумська ,Шосткинський,Шалигинська,Гудове,,
Сумська ,Шосткинський,Глухівська міська громада,Перемога,,
Сумська ,Конотопський,Путивльська міська громада,Веселе,,
Сумська ,Конотопський,Глухівська міська громада,Будища,,
Сумська ,Конотопський,Глухівська міська громада,Баничі,,
Сумська ,Конотопський,Глухівська міська громада,Вікторове,,
Сумська ,Конотопський,Путивльська міська громада,Кубареве,,
Сумська ,Конотопський,Глухівська міська громада,Мацкове,,
Сумська ,Конотопський,Путивльська міська громада,Окіп,,
Сумська ,Конотопський,Путивльська міська громада,Кочерги,,
Сумська ,Конотопський,Путивльська міська громада,В'ятка,,
Сумська ,Конотопський,Путивльська міська громада,Шулешівка,,
Сумська ,Конотопський,Путивльська міська громада,Ховзівка,,
Сумська ,Конотопський,Новослобідська,Уцькове,,
Сумська ,Конотопський,Новослобідська,Мачулища,,
Сумська ,Конотопський,Новослобідська,Вощинине,,
Сумська ,Конотопський,Путивльська міська громада,Руднєве,,
Сумська ,Конотопський,Путивльська міська громада,Вегерівка,,
Сумська ,Конотопський,Путивльська міська громада,Котівка,,
Сумська ,Конотопський,Путивльська міська громада,Роща,,
Сумська ,Конотопський,Путивльська міська громада,В'язенка,,
Сумська ,Конотопський,Путивльська міська громада,Стрільники,,
Сумська ,Конотопський,Путивльська міська громада,Ротівка,,
Сумська ,Конотопський,Путивльська міська громада,Кагань,,
Сумська ,Конотопський,Путивльська міська громада,Волокитине,,
Сумська ,Конотопський,Путивльська міська громада,Щербинівка,,
Сумська ,Конотопський,Кролевецька міська громада,Антонівка,,
Сумська ,Конотопський,Путивльська міська громада,Яцине,,
Сумська ,Конотопський,Путивльська міська громада,Іванівське,,
Сумська ,Конотопський,Путивльська міська громада,Нова Шарпівка,,
Сумська ,Конотопський,Путивльська міська громада,Стара Шарпівка,,
Сумська ,Конотопський,Кролевецька міська громада,Воргол,,
Сумська ,Конотопський,Кролевецька міська громада,Литвиновичі,,
Сумська ,Конотопський,Кролевецька міська громада,Морозівка (Петрівка),,
Сумська ,Конотопський,Кролевецька міська громада,Камінь,,
Сумська ,Конотопський,Кролевецька міська громада,Заруддя,,
Сумська ,Конотопський,Кролевецька міська громада,Мутин,,
Сумська ,Конотопський,Кролевецька міська громада,Божок (Червоний Ранок),,
Сумська ,Конотопський,Кролевецька міська громада,Заболотове,,
Сумська ,Конотопський,Кролевецька міська громада,Веселі Гори,,
Сумська ,Конотопський,Кролевецька міська громада,Спаське (Ленінське),,
Сумська ,Конотопський,Кролевецька міська громада,Любитове,,
Сумська ,Конотопський,Попівська,Нове,,
Сумська ,Конотопський,Попівська,Присеймів'я,,
Сумська ,Конотопський,Попівська,Озаричі,,
Сумська ,Конотопський,Попівська,Залізничне,,
Сумська ,Конотопський,Попівська,Чорноплатове,,
Сумська ,Конотопський,Попівська,Калишенкове,,
Сумська ,Конотопський,Попівська,Мар'янівка,,
Сумська ,Конотопський,Коропська,Поліське (Пролетарське),,
Сумська ,Конотопський,Попівська,Мельня,,
Чернігівська,Корюківський,Сосницька селищна громада,Прогони,,
Чернігівська,Корюківський,Сосницька селищна громада,Купчичі,,
Чернігівська,Корюківський,Сосницька селищна громада,Змітнів,,
Чернігівська,Корюківський,Сосницька селищна громада,Конятин,,
Чернігівська,Корюківський,Коропська селищна громада,Гута,,
Чернігівська,Корюківський,Коропська селищна громада,Городище,,
Чернігівська,Корюківський,Коропська селищна громада,Придеснянське,,
Чернігівська,Корюківський,Коропська селищна громада,Чорнявка,,
Чернігівська,Корюківський,Коропська селищна громада,Черешеньки,,
Чернігівська,Корюківський,Коропська селищна громада,Вишеньки,,
Чернігівська,Корюківський,Коропська селищна громада,Бужанка,,
Чернігівська,Новгород-Сіверський,Понорницька,Розльоти,,
Чернігівська,Новгород-Сіверський,Понорницька,Радичів,,
Чернігівська,Новгород-Сіверський,Понорницька,Деснянське (Свердловськ),,
Чернігівська,Новгород-Сіверський,Понорницька,Мезин,,
Чернігівська,Новгород-Сіверський,Понорницька,Курилівка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Об'єднане,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Гнатівка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Кудлаївка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Дігтярівка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Гірки,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Горбове,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Путивськ,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Араповичі,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Дробишів,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Чулатів,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Комань,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Чернацьке,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Новгород-Сіверський,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Кролевець-Слобідка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Киселівка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Леньків,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Мамекине,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Лісконоги,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Рогівка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Пушкарі,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Ковпинка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Кремський Бугор,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Кам'янська Слобода,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Камінь,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Колос,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Новоселівка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Мурав'ї,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Грем'яч,,
Сумська,Шосткинський,Зноб-Новгородська селищна громада,Нововасилівка,,
Сумська,Шосткинський,Зноб-Новгородська селищна громада,Красноярське,,
Сумська,Шосткинський,Зноб-Новгородська селищна громада,Очкине,,
Сумська,Шосткинський,Зноб-Новгородська селищна громада,Боровичі,,
Сумська,Шосткинський,Зноб-Новгородська селищна громада,Журавка,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Бирине,,
Чернігівська,Новгород-Сіверський,Новгород-Сіверська міська громада,Підгірне,,
Сумська,Шосткинський,Шосткинська міська громада,Свірж,,
Сумська,Шосткинський,Шосткинська міська громада,Остроушки,,
Сумська,Шосткинський,Шосткинська міська громада,Погребки (Коротченкове),,
Сумська,Шосткинський,Шосткинська міська громада,Івот,,
Сумська,Шосткинський,Ямпільська міська громада,Антонівка,,
Сумська,Шосткинський,Ямпільська міська громада,Лісне (Комінтерн),,
Сумська,Шосткинський,Ямпільська міська громада,Скобичівське,,
Сумська,Шосткинський,Ямпільська міська громада,Шатрище,,
Сумська,Шосткинський,Ямпільська міська громада,Деражня,,
Сумська,Шосткинський,Ямпільська міська громада,Папірня,,
Сумська,Шосткинський,Ямпільська міська громада,Чижикове,,
Сумська,Шосткинський,Ямпільська міська громада,Івотка,,
Сумська,Шосткинський,Ямпільська міська громада,Неплюєве,,
Сумська,Шосткинський,Дружбівська міська громада,Бугор,,
Сумська,Шосткинський,Дружбівська міська громада,Чуйківка,,
Сумська,Шосткинський,Дружбівська міська громада,Об'єднане,,
Сумська,Шосткинський,Дружбівська міська громада,Микитське,,
Сумська,Шосткинський,Свеська селищна громада,Родіонівка,,
Сумська,Шосткинський,Свеська селищна громада,Руденка,,
Сумська,Шосткинський,Свеська селищна громада,Ломленка,,
Сумська,Шосткинський,Свеська селищна громада,Марчихина Буда,,
Сумська,Шосткинський,Свеська селищна громада,Свеса,,
Сумська,Шосткинський,Свеська селищна громада,Шевченкове,,
Сумська,Шосткинський,Свеська селищна громада,Ржане,,
Сумська,Шосткинський,Свеська селищна громада,Орлівка,,
Сумська,Шосткинський,Ямпільська міська громада,Ямпіль,,
Сумська,Шосткинський,Ямпільська міська громада,Ростов,,
Сумська,Шосткинський,Ямпільська міська громада,Прудище,,
Сумська,Шосткинський,Ямпільська міська громада,Ольгине (Октябрщина),,
Сумська,Шосткинський,Ямпільська міська громада,Усок,,
Сумська,Шосткинський,Ямпільська міська громада,Паліївка,,
Сумська,Шосткинський,Шосткинська міська громада,Крупець,,
Сумська,Шосткинський,Шосткинська міська громада,Ображіївка,,
Сумська,Шосткинський,Шосткинська міська громада,Богданівка,,
Сумська,Шосткинський,Шосткинська міська громада,Пирогівка,,
Сумська,Шосткинський,Шосткинська міська громада,Собич,,
Сумська,Шосткинський,Шосткинська міська громада,Лісне,,
Сумська,Шосткинський,Шосткинська міська громада,Бензики,,
Сумська,Шосткинський,Шосткинська міська громада,Заболотне,,
Сумська,Шосткинський,Шосткинська міська громада,Солотвине,,
Сумська,Шосткинський,Шосткинська міська громада,Тиманівка,,
Сумська,Шосткинський,Шосткинська міська громада,Чапліївка,,
Сумська,Шосткинський,Шосткинська міська громада,Лушники,,
Сумська,Конотопський,Кролевецька міська громада,Погорілівка,,
Сумська,Конотопський,Кролевецька міська громада,Губарівщина,,
Сумська,Конотопський,Кролевецька міська громада,Медведеве,,
Сумська,Конотопський,Кролевецька міська громада,Обтове,,
Сумська,Конотопський,Кролевецька міська громада,Грибаньове,,
Сумська,Конотопський,Кролевецька міська громада,Сажалки,,
Сумська,Конотопський,Кролевецька міська громада,Ніжинське,,
Сумська,Конотопський,Кролевецька міська громада,Артюхове,,
Сумська,Конотопський,Кролевецька міська громада,Мостище,,
Сумська,Конотопський,Кролевецька міська громада,Грузьке,,
Сумська,Конотопський,Кролевецька міська громада,Реутинці,,
Сумська,Конотопський,Кролевецька міська громада,Ретик,,
Сумська,Конотопський,Кролевецька міська громада,Червона Гірка,,
Сумська,Конотопський,Кролевецька міська громада,Кролевець,,
Сумська,Конотопський,Кролевецька міська громада,Марухи,,
Сумська,Конотопський,Кролевецька міська громада,Бистрик,,
Сумська,Конотопський,Кролевецька міська громада,Ковбасине,,
Сумська,Конотопський,Кролевецька міська громада,Тулиголове,,
Сумська,Конотопський,Кролевецька міська громада,Ярославець,,
Сумська,Шосткинський,Глухівська міська громада,Сутиски,,
Сумська,Конотопський,Кролевецька міська громада,Прогрес,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Райгородок,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Жернівка,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Вільне,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Зайцеве,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Лиса Гора,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Короп,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Риботин,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Сохачі,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Подоляки,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Галичівка,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Лебедин,,
Чернігівська,Новгород-Сіверський,Коропська селищна громада,Станове,,
