Кодифікатор,Код об'єкта КОАТУУ ,Категорія об’єкта,Назва об’єкта
UA18080010180015496,1820610116,С,Климентіївка
UA18080010190046970,1820610117,С,Лісове
UA18080010200067290,1820610118,С,Марківка
UA18080010210026695,1820610119,С,Мирославль
UA18080010220042217,1820610120,С,Млини
UA18080010230013128,1820610121,С,Озерянка
UA18080010240031746,1820610122,С,Острожок
UA18080010250075368,1820610123,С,Рогачів
UA18080010260093022,1820610124,С,Рудня
UA18080010270029991,1820610125,С,Середня
UA18080010280056556,1820610126,С,Ситисько
UA18080010290037240,1820610127,С,Смолдирів
UA18080010300056187,1820610128,С,Смолка
UA18080010310024470,1820610129,С,Стара Гута
UA18080010320089754,1820610130,С,Суємці
UA18080010330030590,1820610131,С,Табори
UA18080010340020022,1820610132,С,Явне
UA18080010350085533,1820610133,С,Ялишів
UA18080030000019784,1821780400,Н,Барашівська
UA18080030010060384,1821780401,С,Бараші
UA18080030020065973,1821756000,Т,Яблунець
UA18080030030039815,1821780402,С,Антонівка
UA18080030040080438,1821780403,С,Бастова Рудня
UA18080030050094903,1821780404,С,Березівка
UA18080030060090898,1821780405,С,Бобрицька Болярка
UA18080030070076094,1821780406,С,Бобриця
UA18080030080034540,1821780407,С,Будо-Бобриця
UA18080030090010291,1821780408,С,Верби
UA18080030100090353,1821782404,С,Вікторівка
UA18080030110047424,1821780409,С,Ганнопіль
UA18080030120048326,1821780410,С,Гута-Бобрицька
UA18080030130092660,1821782402,С,Гута-Зеленицька
UA18080030140038755,1821782403,С,Дуга
UA18080030150043034,1821780411,С,Євгенівка
UA18080030160074825,1821780412,С,Єлизаветпіль
UA18080030170070396,1821782401,С,Зелениця
UA18080030180017939,1821785602,С,Зорянка
UA18080030190042883,1821780413,С,Йосипівка
UA18080030200014871,1821785204,С,Кам’янка
UA18080030210022996,1821780414,С,Киселівка
UA18080030220024495,1821780415,С,Киянка
UA18080030230086403,1821780416,С,Крем’янка
UA18080030240077142,1821780417,С,Майдан
UA18080030250038326,1821785603,С,Михайлівка
UA18080030260013174,1821780418,С,Неділище
UA18080030270095547,1821780419,С,Новоолександрівка
UA18080030280075143,1821780420,С,Новосілка
UA18080030290028867,1821782405,С,Ольхівка
UA18080030300061846,1821785201,С,Рясне
UA18080030310037302,1821780421,С,Синявка
UA18080030320053516,1821785601,С,Сімаківка
UA18080030330039845,1821780422,С,Сорочень
UA18080030340033829,1821780423,С,Усолуси
UA18080030350095553,1821785205,С,Хотиж
UA18080030360094055,1821780424,С,Шевченкове
UA18080050000083590,1824080400,Н,Брониківська
UA18080050010081872,1824080404,С,Романівка
UA18080050020088038,1824086202,С,Абрамок
UA18080050030073252,1824080201,С,Барвинівка
UA18080050040072539,1824081702,С,Болярка
UA18080050050045303,1824080401,С,Броники
UA18080050060081309,1824081703,С,Варварівка
UA18080050070069667,1824084002,С,Вершниця
UA18080050080087387,1824085002,С,Вироби
UA18080050090071763,1824083002,С,Владин
UA18080050100017076,1824083802,С,Дубівка
UA18080050110022589,1824081701,С,Кам’яний Майдан
UA18080050120085002,1824086203,С,Катюха
UA18080050130093764,1824080402,С,Кропивня
UA18080050140046887,1824084003,С,Кущове
UA18080050150082140,1824081704,С,Лагульськ
UA18080050160083109,1824083001,С,Лебедівка
UA18080050170043420,1824085003,С,Малинівка
UA18080050180047947,1824080403,С,Марушівка
UA18080050190040809,1824081705,С,Миколаївка
UA18080050200023135,1824083801,С,Несолонь
UA18080050210049873,1824084001,С,Нова Романівка
UA18080050220040021,1824086204,С,Новозелене
UA18080050230092550,1824084004,С,Перемога
UA18080050240037582,1824085001,С,Поліянівка
UA18080050250086260,1824084005,С,Слобода-Романівська
UA18080050260080606,1824080202,С,Тальки
UA18080050270056693,1824080203,С,Тальківка
UA18080050280036137,1824083803,С,Теснівка
UA18080050290063549,1824086201,С,Тупальці
UA18080050300050103,1824084006,С,Ужачин
UA18080050310021987,1824086401,С,Федорівка
UA18080050320043521,1824084007,С,Яблуневе
UA18080050330099765,1824083003,С,Яворівка
UA18080070000029133,1824055600,Н,Городницька
UA18080070010052641,1824055600,Т,Городниця
UA18080070020056872,1824055601,С,Анастасівка
UA18080070030057136,1824055602,С,Броницька Гута
UA18080070040074894,1824055603,С,Брониця
UA18080070050058396,1824055604,С,Дубники
UA18080070060073983,1824055605,С,Кленова
UA18080070070062417,1824055606,С,Липине
UA18080070080061863,1824055607,С,Лучиця
UA18080070090089928,1824055608,С,Мала Анастасівка
UA18080070100054053,1824055609,С,Перелісок
UA18080070110048311,1824055610,С,Перелісянка
UA18080070120093762,1824055611,С,Прихід
UA18080070130010012,1824055612,С,Червона Воля
UA18080090000055832,1820655400,Н,Довбиська
UA18080090010071852,1820655400,Т,Довбиш
UA18080090020027139,1820655700,Т,Кам’яний Брід
UA18080090030073587,1820655406,Т,Мар’янівка
UA18080090040067639,1820655401,С,Адамівка
UA18080090050014510,1820655701,С,Дібрівка
UA18080090060095816,1820655407,С,Дорогань
UA18080090070069835,1820655702,С,Жовте
UA18080090080099226,1820655408,С,Зятинець
UA18080090090063666,1820655402,С,Лісова Поляна
UA18080090100098182,1820655403,С,Любарська Гута
UA18080090110019219,1820655404,С,Наталія
UA18080090120022602,1820655409,С,Ожгів
UA18080090130072336,1820655405,С,Осичне
UA18080090140023517,1820655703,С,Тартак
UA18080090150056283,1820655410,С,Турова
UA18080090160097726,1820655704,С,Червонодвірка
UA18080110000095378,1820681800,Н,Дубрівська
UA18080110010075419,1820681801,С,Дубрівка
UA18080110020071968,1820681805,С,Вересна
UA18080110030056935,1820681804,С,Глинянка
UA18080110040064778,1820681806,С,Забара
UA18080110050014481,1820681807,С,Закриниччя
UA18080110060066114,1820681808,С,Зелений Гай
UA18080110070026381,1820681802,С,Зірка
UA18080110080049366,1820681803,С,Красуля
UA18080110090014142,1820681809,С,Мокре
UA18080110100020553,1820681810,С,Радулин
UA18080110110029591,1820681811,С,Стовпи
UA18080110120015873,1820681812,С,Хижівка
UA18080130000032098,1821755100,Н,Ємільчинська
UA18080130010016971,1821755100,Т,Ємільчине
UA18080130020037251,1821755104,С,Адамове
UA18080130030034611,1821755105,С,Андрієвичі
UA18080130040058719,1821755106,С,Аполлонівка
UA18080130050017362,1821755107,С,Березники
UA18080130060043052,1821782005,С,Болярка
UA18080130070049166,1821755108,С,Брідок
UA18080130080089769,1821755109,С,Велика Глумча
UA18080130090076115,1821782001,С,Велика Цвіля
UA18080130100096994,1821755110,С,Великий Яблунець
UA18080130110014130,1821755111,С,Вільшанка
UA18080130120067845,1821755112,С,Вірівка
UA18080130130061914,1821755113,С,Володимирівка
UA18080130140085020,1821755114,С,Ганнівка
UA18080130150011753,1821755101,С,Горбове
UA18080130160021308,1821755115,С,Дібрівка
UA18080130170047158,1821755116,С,Забаро-Давидівка
UA18080130180045844,1821755117,С,Запруда
UA18080130190083014,1821755118,С,Заровенка
UA18080130200076410,1821755102,С,Здоровець
UA18080130210040574,1821755119,С,Зосимівка
UA18080130220087595,1821755120,С,Ілляшівка
UA18080130230051061,1821755121,С,Кам’яногірка
UA18080130240075587,1821755122,С,Королівка
UA18080130250010633,1821755123,С,Косяк
UA18080130260074196,1821755124,С,Кочичине
UA18080130270066010,1821755125,С,Красногірка
UA18080130280015157,1821755126,С,Кривотин
UA18080130290035147,1821755127,С,Куліші
UA18080130300011499,1821755128,С,Лебідь
UA18080130310058841,1821782003,С,Лісове
UA18080130320071462,1821755129,С,Лука
UA18080130330010591,1821755130,С,Льонівка
UA18080130340032342,1821755131,С,Мала Глумча
UA18080130350064300,1821755132,С,Малий Кривотин
UA18080130360063075,1821755133,С,Малий Яблунець
UA18080130370048786,1821755134,С,Малоглумчанка
UA18080130380050396,1821755135,С,Медведеве
UA18080130390094457,1821784201,С,Миколаївка
UA18080130400070376,1821755136,С,Мокляки
UA18080130410028430,1821755137,С,Нараївка
UA18080130420050673,1821755138,С,Непізнаничі
UA18080130430094352,1821755139,С,Нитине
UA18080130440025293,1821755140,С,Нові Серби
UA18080130450031194,1821784202,С,Омелуша
UA18080130460026845,1821755141,С,Осівка
UA18080130470075685,1821782007,С,Осова
UA18080130480086437,1821755142,С,Паранине
UA18080130490056929,1821755143,С,Підлуби
UA18080130500038526,1821755144,С,Покощеве
UA18080130510065315,1821784203,С,Полоничеве
UA18080130520049077,1821755145,С,Просіка
UA18080130530076359,1821782009,С,Рогівка
UA18080130540079145,1821755103,С,Руденька
UA18080130550059515,1821784801,С,Рудня-Іванівська
UA18080130560070454,1821784204,С,Рудня-Миколаївка
UA18080130570086309,1821755146,С,Садки
UA18080130580062371,1821755147,С,Серби
UA18080130590091596,1821755148,С,Сергіївка
UA18080130600068011,1821755149,С,Середи
UA18080130610045340,1821755150,С,Симони
UA18080130620066755,1821755151,С,Ситне
UA18080130630049644,1821784205,С,Спаське
UA18080130640063790,1821755152,С,Старий Хмерин
UA18080130650025695,1821755153,С,Старі Непізнаничі
UA18080130660096741,1821755154,С,Старі Серби
UA18080130670044053,1821755155,С,Степанівка
UA18080130680024621,1821755156,С,Тайки
UA18080130690071353,1821755157,С,Хутір-Мокляки
UA18080130700069550,1821755158,С,Червоний Бір
UA18080130710099072,1821755159,С,Чміль
UA18080130720059085,1821755160,С,Яменець
UA18080150000022496,1811000000,Н,Новоград-Волинська
UA18080150010017476,1811000000,М,Новоград-Волинський
UA18080150020010268,1824084402,С,Анета
UA18080150030074227,1824080802,С,Багате
UA18080150040084093,1824081202,С,Борисівка
UA18080150050074146,1824080801,С,Великий Молодьків
UA18080150060056156,1824084403,С,Городище
UA18080150070058268,1824080803,С,Груд
UA18080150080020152,1824081201,С,Дідовичі
UA18080150090059339,1811090001,С,Майстрів
UA18080150100046669,1811090002,С,Майстрова Воля
UA18080150110099811,1811090003,С,Маковиці
UA18080150120049372,1824083701,С,Наталівка
UA18080150130095744,1824083705,С,Олександрівка
UA18080150140046752,1824084401,С,Пилиповичі
UA18080150150015111,1824084405,С,Степове
UA18080170000023999,1824084600,Н,Піщівська
UA18080170010095017,1824084601,С,Піщів
UA18080170020093811,1824085202,С,Велика Деражня
UA18080170030036472,1824084602,С,Дублинки
UA18080170040010700,1824084603,С,Жеребилівка
UA18080170050067063,1824084802,С,Калинівка
UA18080170060087878,1824082501,С,Косенів
UA18080170070056627,1824082503,С,Крайня Деражня
UA18080170080084423,1824085803,С,Партизанське
UA18080170090082683,1824084801,С,Повчине
UA18080170100052825,1824085201,С,Середня Деражня
UA18080170110038830,1824085801,С,Суховоля
UA18080190000029932,1824085400,Н,Стриївська
UA18080190010059030,1824085401,С,Стриєва
UA18080190020040681,1824081001,С,Гульськ
UA18080190030023965,1824085602,С,Івашківка
UA18080190040044862,1824085402,С,Кануни
UA18080190050015294,1824081801,С,Кикова
UA18080190060021466,1824082001,С,Киянка
UA18080190070095078,1824081802,С,Немильня
UA18080190080097482,1824085601,С,Сусли
UA18080190090086478,1824081803,С,Українське
UA18080210000038722,1824086800,Н,Чижівська
UA18080210010083159,1824086801,С,Чижівка
UA18080210020039755,1824086804,С,Берегове
UA18080210030046899,1821781601,С,Варварівка
UA18080210040060969,1824086802,С,Вербівка
UA18080210050073553,1821781602,С,Вересівка
UA18080210060092455,1824086803,С,Вишківка
UA18080210070030877,1824086805,С,Вірівка
UA18080210080010785,1824086806,С,Дібрівське
UA18080210090076770,1824086807,С,Карпилівка
UA18080210100082994,1821781603,С,Катеринівка
UA18080210110097685,1824086808,С,Красилівка
UA18080210120052976,1824086809,С,Красилівське
UA18080210130061225,1824086810,С,Курчицька Гута
UA18080210140082083,1824086811,С,Курчиця
UA18080210150029074,1824086812,С,Мала Цвіля
UA18080210160027125,1821785002,С,Маринівка
UA18080210170040536,1821785003,С,Мар’янівка
UA18080210180050596,1824086813,С,Михіївка
UA18080210190034060,1821781604,С,Мойсіївка
UA18080210200043837,1824086814,С,Морозівка
UA18080210210077533,1821781605,С,Радичі
UA18080210220014768,1821785001,С,Рихальське
UA18080210230029405,1821786001,С,Сербо-Слобідка
UA18080210240085516,1821785004,С,Стара Гута
UA18080210250092264,1824086815,С,Таращанка
UA18080210260030822,1824086816,С,Ходурки
UA18080210270062372,1821786002,С,Яблунівка
UA18080230000071226,1824087400,Н,Ярунська
UA18080230010039746,1824087401,С,Ярунь
UA18080230020073076,1824081402,С,Будища
UA18080230030035201,1824080601,С,Велика Горбаша
UA18080230040032589,1824087402,С,Гірки
UA18080230050086627,1824081401,С,Жолобне
UA18080230060020864,1824086002,С,Кам’янка
UA18080230070088296,1824082402,С,Кожушки
UA18080230080041201,1824082401,С,Колодянка
UA18080230090058011,1824081403,С,Коритища
UA18080230100039687,1824084202,С,Лідівка
UA18080230110086297,1824080602,С,Мала Горбаша
UA18080230120066198,1824084201,С,Орепи
UA18080230130033899,1824085901,С,Тернівка
UA18080230140097211,1824086001,С,Токарів
UA21000000000011690,2100000000,О,Закарпатська
UA21020000000051405,2120400000,Р,Берегівський
UA21020010000055068,2120455400,Н,Батівська
UA21020010010017959,2120455400,Т,Батьово
UA21020010020049781,2120488402,С,Бадів
UA21020010030057313,2120488403,С,Бакош
UA21020010040081453,2122787002,С,Баркасово
UA21020010050055620,2120480401,С,Батрадь
UA21020010060013671,2120480402,С,Горонглаб
UA21020010070025052,2120488404,С,Данилівка
UA21020010080094066,2120488401,С,Свобода
UA21020010090070648,2122787001,С,Серне
UA21020030000019624,2110200000,Н,Берегівська
UA21020030010083215,2110200000,М,Берегове
UA21020030020010976,2120481201,С,Бадалово
UA21020030030070316,2120485203,С,Балажер
UA21020030040099324,2120484401,С,Бене
UA21020030050011815,2120481701,С,Боржава
UA21020030060033372,2120481601,С,Вари
UA21020030070034520,2120483301,С,Велика Бакта
UA21020030080097380,2120482201,С,Галабор
UA21020030090051498,2120482801,С,Гать
UA21020030100045211,2120483201,С,Геча
UA21020030110024517,2110290001,С,Затишне
UA21020030120020373,2120483501,С,Кідьош
UA21020030130020350,2120486401,С,Мужієво
UA21020030140095232,2120487601,С,Оросієво
UA21020030150099443,2120489201,С,Четфалва
UA21020030160019515,2120482803,С,Чикош-Горонда
UA21020030170028763,2120483401,С,Чома
UA21020030180070457,2120485201,С,Яноші
UA21020050000065800,2120480800,Н,Великоберезька
UA21020050010014056,2120480801,С,Великі Береги
UA21020050020045443,2120487201,С,Берегуйфалу
UA21020050030079342,2120486802,С,Верхні Ремети
UA21020050040076426,2120485401,С,Квасово
UA21020050050076367,2120486801,С,Нижні Ремети
UA21020070000015036,2120482000,Н,Великобийганська
UA21020070010032670,2120482001,С,Велика Бийгань
UA21020070020058123,2120480101,С,Астей
UA21020070030067289,2120486005,С,Гуняді
UA21020070040036972,2120482401,С,Гут
UA21020070050095798,2120483603,С,Дийда
UA21020070060092126,2120482002,С,Мала Бийгань
UA21020070070068585,2120486001,С,Мочола
UA21020090000083647,2121255300,Н,Вилоцька
UA21020090010056871,2121255300,Т,Вилок
UA21020090020067239,2121282503,С,Вербове
UA21020090030037564,2121281801,С,Вербовець
UA21020090040096738,2121283902,С,Карачин
UA21020090050085292,2121282501,С,Матійово
UA21020090060089528,2121283001,С,Нове Село
UA21020090070014588,2121283901,С,Перехрестя
UA21020090080081824,2121284501,С,Пушкіно
UA21020090090012438,2121282505,С,Руська Долина
UA21020090100042821,2121281802,С,Чорний Потік
UA21020090110090200,2121286801,С,Шаланки
UA21020110000091104,2121210100,Н,Виноградівська
UA21020110010043238,2121210100,М,Виноградів
UA21020110020052532,2121280301,С,Боржавське
UA21020110030068404,2121280601,С,Букове
UA21020110040049703,2121281501,С,Велика Копаня
UA21020110050026998,2121280901,С,Великі Ком’яти
UA21020110060028909,2121282101,С,Дротинці
UA21020110070014857,2121282601,С,Мала Копаня
UA21020110080083270,2121283301,С,Олешник
UA21020110090045117,2121283601,С,Онок
UA21020110100043868,2121284401,С,Підвиноградів
UA21020110110074330,2121285302,С,Притисянське
UA21020110120016300,2121285303,С,Тросник
UA21020110130034968,2121285301,С,Фанчиково
UA21020110140013102,2121287201,С,Широке
UA21020130000047547,2121984800,Н,Кам’янська
UA21020130010082249,2121984801,С,Кам’янське
UA21020130020081432,2121980401,С,Арданово
UA21020130030051448,2121984802,С,Богаревиця
UA21020130040024696,2121984803,С,Воловиця
UA21020130050048005,2121980402,С,Дунковиця
UA21020130060066691,2121980403,С,Мідяниця
UA21020130070030215,2121987001,С,Сільце
UA21020130080039018,2121984804,С,Хмільник
UA21020150000043098,2121255600,Н,Королівська
UA21020150010092439,2121255600,Т,Королево
UA21020150020010994,2121281901,С,Веряця
UA21020150030026494,2121281903,С,Горбки
UA21020150040092612,2121285002,С,Гудя
UA21020150050016362,2121282701,С,Новоселиця
UA21020150060031855,2121284701,С,Сасово
UA21020150070056121,2121285001,С,Теково
UA21020150080016655,2121285601,С,Хижа
UA21020150090048254,2121286501,С,Черна
UA21020170000069101,2120485600,Н,Косоньська
UA21020170010067414,2120485601,С,Косонь
UA21020170020042941,2120485602,С,Гетен
UA21020170030072053,2120485603,С,Запсонь
UA21020170040037876,2120485604,С,Каштаново
UA21020170050096206,2120485605,С,Мале Попово
UA21020170060014088,2120485606,С,Попово
UA21020170070064571,2120485607,С,Рафайново
UA21020170080088954,2120485608,С,Шом
UA21020190000086409,2121284100,Н,Пийтерфолвівська
UA21020190010089582,2121284101,С,Пийтерфолво
UA21020190020065648,2121282402,С,Ботар
UA21020190030021934,2121281201,С,Велика Паладь
UA21020190040095602,2121285902,С,Гетиня
UA21020190050097552,2121282301,С,Дюла
UA21020190060044916,2121285903,С,Затисівка
UA21020190070097003,2121282401,С,Неветленфолу
UA21020190080038062,2121282406,С,Нове Клинове
UA21020190090075909,2121282403,С,Оклі
UA21020190100010821,2121282404,С,Оклі Гедь
UA21020190110026032,2121284102,С,Тисобикень
UA21020190120084194,2121281202,С,Фертешолмаш
UA21020190130010359,2121284103,С,Форголань
UA21020190140092769,2121286202,С,Холмовець
UA21020190150083412,2121285901,С,Чепа
UA21020190160047463,2121286201,С,Чорнотисів
UA21040000000077329,2122700000,Р,Мукачівський
UA21040010000055885,2122781200,Н,Великолучківська
UA21040010010026102,2122781201,С,Великі Лучки
UA21040010020072313,2122786803,С,Бенедиківці
UA21040010030035005,2122782802,С,Вінкове
UA21040010040060922,2122786805,С,Домбоки
UA21040010050032483,2122782803,С,Драгиня
UA21040010060012030,2122782801,С,Зняцьово
UA21040010070082260,2122786807,С,Кайданово
UA21040010080055444,2122783401,С,Кальник
UA21040010090041634,2122782804,С,Кінлодь
UA21040010100070033,2122783402,С,Кузьмино
UA21040010110060301,2122783403,С,Медведівці
UA21040010120087196,2122786801,С,Ракошино
UA21040010130012340,2122783404,С,Руська Кучава
UA21040010140063983,2122786809,С,Руське
UA21040010150032362,2122782805,С,Червеньово
UA21040010160082699,2122786811,С,Чопівці
UA21040010170018444,2122783405,С,Шкуратівці
UA21040030000026359,2122781600,Н,Верхньокоропецька
UA21040030010064065,2122781601,С,Верхній Коропець
UA21040030020033632,2122785002,С,Березинка
UA21040030030087739,2122781603,С,Буковинка
UA21040030040098153,2122787202,С,Гандеровиця
UA21040030050064225,2122783001,С,Зубівка
UA21040030060020318,2122781605,С,Кучава
UA21040030070065609,2122781607,С,Куштановиця
UA21040030080052098,2122785001,С,Лалово
UA21040030090087631,2122788202,С,Новоселиця
UA21040030100084327,2122783002,С,Софія
UA21040030110013241,2122787201,С,Станово
UA21040030120011146,2122788201,С,Яблунів
UA21040050000032164,2121555100,Н,Воловецька
UA21040050010070301,2121555100,Т,Воловець
UA21040050020063265,2121583001,С,Гукливий
UA21040050030052452,2121555101,С,Канора
UA21040050040040588,2121585501,С,Скотарське
UA21040070000029344,2122781800,Н,Горондівська
UA21040070010034667,2122781801,С,Горонда
UA21040070020055848,2122782201,С,Жнятино
UA21040070030018884,2122787401,С,Страбичово
UA21040090000072363,2121555300,Н,Жденіївська
UA21040090010034849,2121555300,Т,Жденієво
UA21040090020014725,2121581501,С,Буковець
UA21040090030085798,2121584502,С,Верхня Грабівниця
UA21040090040033430,2121555301,С,Збини
UA21040090050047128,2121585002,С,Кічерний
UA21040090060090220,2121586502,С,Пашківці
UA21040090070088150,2121585003,С,Перехресний
UA21040090080059839,2121584501,С,Підполоззя
UA21040090090012528,2121585001,С,Розтока
UA21040090100054515,2121586501,С,Щербовець
UA21040090110083785,2121584503,С,Ялове
UA21040110000099623,2122783200,Н,Івановецька
UA21040110010010794,2122783201,С,Іванівці
UA21040110020040860,2122780401,С,Бобовище
UA21040110030023630,2122780403,С,Грибівці
UA21040110040011540,2122782301,С,Жуково
UA21040110050016694,2122780405,С,Ільківці
UA21040110060032429,2122783202,С,Клячаново
UA21040110070091640,2122784201,С,Копинівці
UA21040110080011420,2122785201,С,Лохово
UA21040110090058966,2122784202,С,Микулівці
UA21040110100076485,2122784203,С,Ростов’ятиця
UA21040110110044865,2122783203,С,Старе Давидково
UA21040110120016617,2122785205,С,Череївці
UA21040110130047849,2122784204,С,Щасливе
UA21040130000019237,2122755300,Н,Кольчинська
UA21040130010016484,2122755300,Т,Кольчино
UA21040130020022522,2122781401,С,Верхня Визниця
UA21040130030065621,2122786602,С,Герцівці
UA21040130040075826,2122786603,С,Грабово
UA21040130050077554,2122755301,С,Жборівці
UA21040130060018905,2122755302,С,Кленовець
UA21040130070073847,2122781402,С,Клочки
UA21040130080024465,2122755303,С,Коноплівці
UA21040130090085239,2122786604,С,Крите
UA21040130100055069,2122781403,С,Лісарня
UA21040130110060698,2122786601,С,Пузняківці
UA21040130120012237,2122786605,С,Тростяниця
UA21040150000092428,2110400000,Н,Мукачівська
UA21040150010056148,2110400000,М,Мукачево
UA21040150020076582,2122785402,С,Барбово
UA21040150030089327,2121983202,С,Горбок
UA21040150040085395,2110490001,С,Дерцен
UA21040150050043826,2121983201,С,Доробратово
UA21040150060025188,2122782401,С,Завидово
UA21040150070093449,2122782601,С,Залужжя
UA21040150080069015,2122783801,С,Ключарки
UA21040150090028594,2110490002,С,Лавки
UA21040150100027302,2122785401,С,Макарьово
UA21040150110089670,2121986201,С,Негрово
UA21040150120084462,2110490003,С,Нижній Коропець
UA21040150130048595,2110490004,С,Нове Давидково
UA21040150140085296,2110490005,С,Павшино
UA21040150150029870,2122786401,С,Пістрялово
UA21040150160081982,2122782603,С,Ромочевиця
UA21040150170033057,2122785301,С,Форнош
UA21040150180099066,2110490006,С,Шенборн
UA21040170000092506,2124083500,Н,Неліпинська
UA21040170010051496,2124083501,С,Неліпино
UA21040170020037122,2124083502,С,Вовчий
UA21040170030080291,2124080801,С,Ганьковиця
UA21040170040039985,2124083503,С,Сасівка
UA21040190000088960,2121584200,Н,Нижньоворітська
UA21040190010057812,2121584201,С,Нижні Ворота
UA21040190020032850,2121580501,С,Абранка
UA21040190030016700,2121581001,С,Біласовиця
UA21040190040089736,2121582001,С,Верб’яж
UA21040190050095127,2121582501,С,Верхні Ворота
UA21040190060013924,2121582002,С,Завадка
UA21040190070014726,2121584202,С,Задільське
UA21040190080025387,2121586002,С,Котельниця
UA21040190090011026,2121584001,С,Лази
UA21040190100058153,2121581002,С,Латірка
UA21040190110081818,2121586001,С,Тишів
UA21040210000079273,2124084400,Н,Полянська
UA21040210010063908,2124084401,С,Поляна
UA21040210020055435,2124081601,С,Голубине
UA21040210030055544,2124084403,С,Оленьово
UA21040210040024816,2124084404,С,Павлово
UA21040210050074315,2124086902,С,Пасіка
UA21040210060032291,2124084405,С,Плоске
UA21040210070020191,2124084406,С,Плоский Потік
UA21040210080038975,2124084407,С,Родниківка
UA21040210090082301,2124084408,С,Родникова Гута
UA21040210100066007,2124085601,С,Солочин
UA21040210110090564,2124086901,С,Сусково
UA21040210120029398,2124084402,С,Уклин
UA21040210130061307,2124084409,С,Яківське
UA21040230000091606,2124010100,Н,Свалявська
UA21040230010045142,2124010100,М,Свалява
UA21040230020012517,2124010101,С,Драчино
UA21040230030078133,2124082301,С,Дусино
UA21040230040048073,2124082303,С,Лопушанка
UA21040230050084132,2124087203,С,Мала Мартинка
UA21040230060075743,2124082305,С,Плав’я
UA21040230070094726,2124082307,С,Росош
UA21040230080028929,2124085801,С,Стройне
UA21040230090060662,2124087201,С,Тибава
UA21040230100037003,2124085802,С,Черник
UA21040250000010914,2122755500,Н,Чинадіївська
UA21040250010091008,2122755500,Т,Чинадійово
UA21040250020097374,2122780201,С,Бабичі
UA21040250030017877,2122781001,С,Бистриця
UA21040250040061201,2122780801,С,Брестів
UA21040250050056173,2122781002,С,Вільховиця
UA21040250060079064,2122780202,С,Ділок
UA21040250070036563,2122786203,С,Дубино
UA21040250080037844,2122755501,С,Карпати
UA21040250090067595,2122786205,С,Косино
UA21040250100097314,2122780802,С,Лецовиця
UA21040250110095680,2122786201,С,Обава
UA21040250120052856,2122780803,С,Плоскановиця
UA21040250130083664,2122755502,С,Синяк
UA21040250140071086,2122786207,С,Чабин
UA21060000000059475,2123600000,Р,Рахівський
UA21060010000011784,2123681300,Н,Богданська
UA21060010010053544,2123681301,С,Богдан
UA21060010020057016,2123681303,С,Бребоя
UA21060010030060957,2123682201,С,Видричка
UA21060010040029639,2123685002,С,Говерла
UA21060010050057482,2123685001,С,Луги
UA21060010060072896,2123686001,С,Розтоки
UA21060030000020114,2123655500,Н,Великобичківська
UA21060030010061322,2123655500,Т,Великий Бичків
UA21060030020068473,2123655800,Т,Кобилецька Поляна
UA21060030030029396,2123681501,С,Верхнє Водяне
UA21060030040040871,2123682001,С,Водиця
UA21060030050047582,2123683501,С,Косівська Поляна
UA21060030060027636,2123685501,С,Луг
UA21060030070023278,2123682002,С,Плаюць
UA21060030080074622,2123686501,С,Росішка
UA21060030090081691,2123681502,С,Стримба
UA21060050000029937,2123610100,Н,Рахівська
UA21060050010040895,2123610100,М,Рахів
UA21060050020058596,2123680501,С,Білин
UA21060050030083479,2123684002,С,Вільховатий
UA21060050040037368,2123682501,С,Ділове
UA21060050050013559,2123684001,С,Костилівка
UA21060050060028459,2123682502,С,Круглий
UA21060050070039225,2123682503,С,Хмелів
UA21060070000049340,2123656200,Н,Ясінянська
UA21060070010074038,2123656200,Т,Ясіня
UA21060070020094987,2123683001,С,Кваси
UA21060070030094589,2123684501,С,Лазещина
UA21060070040052503,2123683002,С,Сітний
UA21060070050031934,2123656201,С,Стебний
UA21060070060038257,2123683003,С,Тростянець
UA21060070070042957,2123687501,С,Чорна Тиса
UA21080000000048851,2124400000,Р,Тячівський
UA21080010000097427,2124480400,Н,Бедевлянська
UA21080010010015628,2124480401,С,Бедевля
UA21080010020068524,2124480501,С,Біловарці
UA21080010030023780,2124480403,С,Глиняний
UA21080010040042089,2124480404,С,Дібрівка
UA21080010050026434,2124480405,С,Руня
UA21080030000084057,2124455300,Н,Буштинська
UA21080030010025862,2124455300,Т,Буштино
UA21080030020018619,2124480801,С,Вонігове
UA21080030030026581,2124482601,С,Дулово
UA21080030040085364,2124483601,С,Кричово
UA21080030050060997,2124485001,С,Новобарово
UA21080030060092136,2124488002,С,Рівне
UA21080030070073738,2124483602,С,Росош
UA21080030080052998,2124487001,С,Теребля
UA21080030090086221,2124488001,С,Чумальово
UA21080050000056542,2124485800,Н,Вільховецька
UA21080050010025151,2124485801,С,Вільхівці
UA21080050020032531,2124485804,С,Вільхівці-Лази
UA21080050030060630,2124485802,С,Вільхівчик
UA21080050040058895,2124485805,С,Добрянське
UA21080050050066708,2124485806,С,Ракове
UA21080050060082175,2124485803,С,Сасово
UA21080070000025254,2124455600,Н,Дубівська
UA21080070010064473,2124455600,Т,Дубове
UA21080070020097855,2124455601,С,Вишній Дубовець
UA21080070030085352,2124482801,С,Калини
UA21080070040070775,2124483201,С,Красна
UA21080070050023884,2124455602,С,Нижній Дубовець
UA21080090000024861,2124484800,Н,Нересницька
